"","subject_ids","user_name","classification_id","workflow_version","task_index","task","task_label","value","total_submissions","submission_index","choice","which_side"
"1",4708094,"missmonkey",23492245,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"2",4764560,"coralpolyp1",23492246,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"3",4713894,"missmonkey",23492248,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"4",4720170,"missmonkey",23492251,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"5",4760085,"missmonkey",23492253,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"6",4797248,"missmonkey",23492256,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"7",4901442,"missmonkey",23492260,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"8",4920762,"missmonkey",23492263,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"9",4925493,"missmonkey",23492266,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"10",4673499,"missmonkey",23492269,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"11",4708004,"missmonkey",23492271,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"12",4753346,"missmonkey",23492272,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"13",4757153,"missmonkey",23492276,325.7,1,"T0",NA,"list(list(choice = ""JCKLSDSTRPD"", answers = list(HWMN = ""1"", WHCHSDFTHNMLSVSBL = ""LFTSD""), filters = list()))",1,1,"JCKLSDSTRPD","LFTSD"
"14",4774813,"missmonkey",23492277,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"15",4777860,"missmonkey",23492281,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"16",4789240,"missmonkey",23492282,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"17",4885099,"missmonkey",23492284,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"18",4894787,"missmonkey",23492286,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"19",4906639,"missmonkey",23492288,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"20",4671225,"missmonkey",23492290,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"21",4696912,"missmonkey",23492291,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"22",4717969,"missmonkey",23492294,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"23",4735449,"missmonkey",23492298,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"24",4788189,"coralpolyp1",23492304,325.7,1,"T0",NA,"list(list(choice = ""DKRSTNBK"", answers = list(HWMN = ""1"", WHCHSDFTHNMLSVSBL = ""FRNT""), filters = list()))",1,1,"DKRSTNBK","FRNT"
"25",4810860,"missmonkey",23492305,325.7,1,"T0",NA,"list(list(choice = ""FR"", answers = list(), filters = list()))",1,1,"FR",NA
"26",4822796,"coralpolyp1",23492308,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"27",4828384,"missmonkey",23492317,325.7,1,"T0",NA,"list(list(choice = ""FR"", answers = list(), filters = list()))",1,1,"FR",NA
"28",4837398,"missmonkey",23492322,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"29",4854028,"missmonkey",23492323,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"30",4869311,"missmonkey",23492327,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"31",4898057,"missmonkey",23492329,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"32",4690980,"missmonkey",23492333,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"33",4742024,"missmonkey",23492336,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"34",4683506,"AHOtuulikki",23492342,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"35",4777750,"missmonkey",23492343,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"36",4792513,"missmonkey",23492348,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"37",4803022,"missmonkey",23492352,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"38",4690747,"AHOtuulikki",23492353,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"39",4830652,"missmonkey",23492358,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"40",4849938,"missmonkey",23492360,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"41",4800042,"AHOtuulikki",23492362,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"42",4901799,"missmonkey",23492370,325.7,1,"T0",NA,"list(list(choice = ""LPHNT"", answers = list(HWMN = ""1"", WHCHSDFTHNMLSVSBL = ""RGHTSD""), filters = list()))",1,1,"LPHNT","RGHTSD"
"43",4837130,"coralpolyp1",23492373,325.7,1,"T0",NA,"list(list(choice = ""LPHNT"", answers = list(HWMN = ""1"", WHCHSDFTHNMLSVSBL = ""LFTSD""), filters = list()))",1,1,"LPHNT","LFTSD"
"44",4801779,"AHOtuulikki",23492374,325.7,1,"T0",NA,"list(list(choice = ""NTHNGHR"", answers = list(), filters = list()))",1,1,"NTHNGHR",NA
"45",4904675,"missmonkey",23492375,325.7,1,"T0",NA,"list(list(choice = ""HMNNTVHCLS"", answers = list(), filters = list()))",1,1,"HMNNTVHCLS",NA
