"","subject_ids","classification_id","workflow_version","task","total_species","species_index","choice","how_many","which_side"
"1",4708094,23492245,325.7,"T0",1,1,"NTHNGHR",NA,NA
"2",4764560,23492246,325.7,"T0",1,1,"NTHNGHR",NA,NA
"3",4713894,23492248,325.7,"T0",1,1,"NTHNGHR",NA,NA
"4",4720170,23492251,325.7,"T0",1,1,"NTHNGHR",NA,NA
"5",4760085,23492253,325.7,"T0",1,1,"NTHNGHR",NA,NA
"6",4797248,23492256,325.7,"T0",1,1,"NTHNGHR",NA,NA
"7",4901442,23492260,325.7,"T0",1,1,"NTHNGHR",NA,NA
"8",4920762,23492263,325.7,"T0",1,1,"NTHNGHR",NA,NA
"9",4925493,23492266,325.7,"T0",1,1,"NTHNGHR",NA,NA
"10",4673499,23492269,325.7,"T0",1,1,"NTHNGHR",NA,NA
"11",4708004,23492271,325.7,"T0",1,1,"NTHNGHR",NA,NA
"12",4753346,23492272,325.7,"T0",1,1,"NTHNGHR",NA,NA
"13",4757153,23492276,325.7,"T0",1,1,"JCKLSDSTRPD","1","LFTSD"
"14",4774813,23492277,325.7,"T0",1,1,"NTHNGHR",NA,NA
"15",4777860,23492281,325.7,"T0",1,1,"NTHNGHR",NA,NA
"16",4789240,23492282,325.7,"T0",1,1,"NTHNGHR",NA,NA
"17",4885099,23492284,325.7,"T0",1,1,"NTHNGHR",NA,NA
"18",4894787,23492286,325.7,"T0",1,1,"NTHNGHR",NA,NA
"19",4906639,23492288,325.7,"T0",1,1,"NTHNGHR",NA,NA
"20",4671225,23492290,325.7,"T0",1,1,"NTHNGHR",NA,NA
"21",4696912,23492291,325.7,"T0",1,1,"NTHNGHR",NA,NA
"22",4717969,23492294,325.7,"T0",1,1,"NTHNGHR",NA,NA
"23",4735449,23492298,325.7,"T0",1,1,"NTHNGHR",NA,NA
"24",4788189,23492304,325.7,"T0",1,1,"DKRSTNBK","1","FRNT"
"25",4810860,23492305,325.7,"T0",1,1,"FR",NA,NA
"26",4822796,23492308,325.7,"T0",1,1,"NTHNGHR",NA,NA
"27",4828384,23492317,325.7,"T0",1,1,"FR",NA,NA
"28",4837398,23492322,325.7,"T0",1,1,"NTHNGHR",NA,NA
"29",4854028,23492323,325.7,"T0",1,1,"NTHNGHR",NA,NA
"30",4869311,23492327,325.7,"T0",1,1,"NTHNGHR",NA,NA
"31",4898057,23492329,325.7,"T0",1,1,"NTHNGHR",NA,NA
"32",4690980,23492333,325.7,"T0",1,1,"NTHNGHR",NA,NA
"33",4742024,23492336,325.7,"T0",1,1,"NTHNGHR",NA,NA
"34",4683506,23492342,325.7,"T0",1,1,"NTHNGHR",NA,NA
"35",4777750,23492343,325.7,"T0",1,1,"NTHNGHR",NA,NA
"36",4792513,23492348,325.7,"T0",1,1,"NTHNGHR",NA,NA
"37",4803022,23492352,325.7,"T0",1,1,"NTHNGHR",NA,NA
"38",4690747,23492353,325.7,"T0",1,1,"NTHNGHR",NA,NA
"39",4830652,23492358,325.7,"T0",1,1,"NTHNGHR",NA,NA
"40",4849938,23492360,325.7,"T0",1,1,"NTHNGHR",NA,NA
"41",4800042,23492362,325.7,"T0",1,1,"NTHNGHR",NA,NA
"42",4901799,23492370,325.7,"T0",1,1,"LPHNT","1","RGHTSD"
"43",4837130,23492373,325.7,"T0",1,1,"LPHNT","1","LFTSD"
"44",4801779,23492374,325.7,"T0",1,1,"NTHNGHR",NA,NA
"45",4904675,23492375,325.7,"T0",1,1,"HMNNTVHCLS",NA,NA
"46",4921844,23492376,325.7,"T0",1,1,"NTHNGHR",NA,NA
"47",4809479,23492377,325.7,"T0",1,1,"NTHNGHR",NA,NA
"48",4679635,23492378,325.7,"T0",1,1,"NTHNGHR",NA,NA
"49",4748747,23492381,325.7,"T0",1,1,"NTHNGHR",NA,NA
"50",4812977,23492383,325.7,"T0",1,1,"NTHNGHR",NA,NA
"51",4765356,23492385,325.7,"T0",1,1,"NTHNGHR",NA,NA
"52",4828428,23492387,325.7,"T0",1,1,"NTHNGHR",NA,NA
"53",4817875,23492389,325.7,"T0",1,1,"NTHNGHR",NA,NA
"54",4842643,23492392,325.7,"T0",1,1,"NTHNGHR",NA,NA
"55",4855874,23492394,325.7,"T0",1,1,"WRTHG","2","MLTPLSDSFRMMLTPLNMLS"
"56",4833176,23492395,325.7,"T0",1,1,"NTHNGHR",NA,NA
"57",4879304,23492398,325.7,"T0",1,1,"FR",NA,NA
"58",4746084,23492401,325.7,"T0",1,1,"NTHNGHR",NA,NA
"59",4776942,23492404,325.7,"T0",1,1,"NTHNGHR",NA,NA
"60",4886404,23492405,325.7,"T0",1,1,"NTHNGHR",NA,NA
"61",4775405,23492407,325.7,"T0",1,1,"NTHNGHR",NA,NA
"62",4747208,23492409,325.7,"T0",1,1,"NTHNGHR",NA,NA
"63",4903713,23492411,325.7,"T0",1,1,"FR",NA,NA
"64",4905646,23492417,325.7,"T0",1,1,"NTHNGHR",NA,NA
"65",4751630,23492418,325.7,"T0",1,1,"NTHNGHR",NA,NA
"66",4781900,23492419,325.7,"T0",1,1,"NTHNGHR",NA,NA
"67",4930194,23492421,325.7,"T0",1,1,"NTHNGHR",NA,NA
"68",4802350,23492422,325.7,"T0",1,1,"NTHNGHR",NA,NA
"69",4816644,23492424,325.7,"T0",1,1,"NTHNGHR",NA,NA
"70",4843679,23492428,325.7,"T0",1,1,"NTHNGHR",NA,NA
"71",4864167,23492429,325.7,"T0",1,1,"NTHNGHR",NA,NA
"72",4669485,23492432,325.7,"T0",1,1,"DKRSTNBK","1","BCK"
"73",4873498,23492433,325.7,"T0",1,1,"NTHNGHR",NA,NA
"74",4865423,23492437,325.7,"T0",1,1,"NTHNGHR",NA,NA
"75",4697597,23492439,325.7,"T0",1,1,"NTHNGHR",NA,NA
"76",4873870,23492440,325.7,"T0",1,1,"NTHNGHR",NA,NA
"77",4709091,23492442,325.7,"T0",1,1,"NTHNGHR",NA,NA
"78",4921874,23492444,325.7,"T0",1,1,"NTHNGHR",NA,NA
"79",4755926,23492447,325.7,"T0",1,1,"NTHNGHR",NA,NA
"80",4774067,23492450,325.7,"T0",1,1,"NTHNGHR",NA,NA
"81",4897554,23492454,325.7,"T0",1,1,"FR",NA,NA
"82",4806129,23492456,325.7,"T0",1,1,"NTHNGHR",NA,NA
"83",4889130,23492460,325.7,"T0",1,1,"NTHNGHR",NA,NA
"84",4897907,23492461,325.7,"T0",1,1,"NTHNGHR",NA,NA
"85",4883750,23492463,325.7,"T0",1,1,"DKRSTNBK","1","RGHTSD"
"86",4892129,23492464,325.7,"T0",1,1,"NTHNGHR",NA,NA
"87",4670933,23492466,325.7,"T0",1,1,"NTHNGHR",NA,NA
"88",4923934,23492467,325.7,"T0",1,1,"NTHNGHR",NA,NA
"89",4899775,23492468,325.7,"T0",1,1,"NTHNGHR",NA,NA
"90",4925374,23492471,325.7,"T0",1,1,"NTHNGHR",NA,NA
"91",4692716,23492472,325.7,"T0",1,1,"NTHNGHR",NA,NA
"92",4687061,23492476,325.7,"T0",1,1,"NTHNGHR",NA,NA
"93",4674306,23492477,325.7,"T0",1,1,"NTHNGHR",NA,NA
"94",4722421,23492479,325.7,"T0",1,1,"NTHNGHR",NA,NA
"95",4770362,23492480,325.7,"T0",1,1,"BRD","1","LFTSD"
"96",4723461,23492483,325.7,"T0",1,1,"NTHNGHR",NA,NA
"97",4710290,23492484,325.7,"T0",1,1,"NTHNGHR",NA,NA
"98",4735539,23492486,325.7,"T0",1,1,"NTHNGHR",NA,NA
"99",4800376,23492487,325.7,"T0",1,1,"NTHNGHR",NA,NA
"100",4763549,23492491,325.7,"T0",1,1,"NTHNGHR",NA,NA
"101",4824809,23492492,325.7,"T0",1,1,"NTHNGHR",NA,NA
"102",4794173,23492496,325.7,"T0",1,1,"NTHNGHR",NA,NA
"103",4867922,23492497,325.7,"T0",1,1,"FR",NA,NA
"104",4874794,23492505,325.7,"T0",1,1,"NTHNGHR",NA,NA
"105",4862831,23492506,325.7,"T0",1,1,"NTHNGHR",NA,NA
"106",4883020,23492509,325.7,"T0",1,1,"NTHNGHR",NA,NA
"107",4865921,23492510,325.7,"T0",1,1,"NTHNGHR",NA,NA
"108",4911250,23492511,325.7,"T0",1,1,"NTHNGHR",NA,NA
"109",4894981,23492513,325.7,"T0",1,1,"NTHNGHR",NA,NA
"110",4922704,23492514,325.7,"T0",1,1,"NTHNGHR",NA,NA
"111",4673545,23492518,325.7,"T0",1,1,"NTHNGHR",NA,NA
"112",4901643,23492520,325.7,"T0",1,1,"NTHNGHR",NA,NA
"113",4674824,23492524,325.7,"T0",1,1,"NTHNGHR",NA,NA
"114",4901832,23492526,325.7,"T0",1,1,"VHCL",NA,NA
"115",4705432,23492527,325.7,"T0",1,1,"NTHNGHR",NA,NA
"116",4719710,23492528,325.7,"T0",1,1,"NTHNGHR",NA,NA
"117",4907129,23492531,325.7,"T0",1,1,"NTHNGHR",NA,NA
"118",4753047,23492532,325.7,"T0",1,1,"NTHNGHR",NA,NA
"119",4759330,23492535,325.7,"T0",1,1,"NTHNGHR",NA,NA
"120",4694088,23492536,325.7,"T0",1,1,"NTHNGHR",NA,NA
"121",4814280,23492537,325.7,"T0",1,1,"NTHNGHR",NA,NA
"122",4900944,23492539,325.7,"T0",1,1,"FR",NA,NA
"123",4696728,23492541,325.7,"T0",1,1,"NTHNGHR",NA,NA
"124",4908307,23492542,325.7,"T0",1,1,"NTHNGHR",NA,NA
"125",4923810,23492546,325.7,"T0",1,1,"NTHNGHR",NA,NA
"126",4713713,23492547,325.7,"T0",1,1,"NTHNGHR",NA,NA
"127",4804176,23492548,325.7,"T0",1,1,"BRD","1","FRNT"
"128",4686115,23492549,325.7,"T0",1,1,"NTHNGHR",NA,NA
"129",4772031,23492550,325.7,"T0",1,1,"NTHNGHR",NA,NA
"130",4717992,23492552,325.7,"T0",1,1,"NTHNGHR",NA,NA
"131",4774553,23492556,325.7,"T0",1,1,"NTHNGHR",NA,NA
"132",4723028,23492558,325.7,"T0",1,1,"NTHNGHR",NA,NA
