"","subject_ids","num_class","num_votes","agg_num_species","diff_species","choice","votes","propvote","propclass","med_count","min_count","max_count","EATING","GROOMING","INTERACTING","RUNNING","SITTING","STANDING","WALKING","consensus_species","resolve"
"1",4593512,4,4,1,1,"DEER",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEER","ok"
"2",4593513,1,1,1,1,"NOTHINGHERE",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTHINGHERE","ok"
"3",4593516,1,1,1,1,"FISHER",1,1,1,1,1,1,0,0,0,0,0,0,1,"FISHER","ok"
"4",4593519,2,2,1,1,"DEER",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEER","ok"
"5",4593520,2,2,1,1,"RACCOON",2,1,1,1,1,1,0,0.5,0,0,0,0.5,0,"RACCOON","ok"
"6",4593521,2,2,1,1,"RACCOON",2,1,1,1,1,1,0,0,0,0,0,0,1,"RACCOON","ok"
"7",4593522,1,1,1,1,"NOTHINGHERE",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTHINGHERE","ok"
"8",4593523,1,1,1,1,"OTHERBIRD",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTHERBIRD","ok"
"9",4593524,2,2,1,1,"OTHERBIRD",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTHERBIRD","ok"
"10",4593525,1,1,1,1,"NOTHINGHERE",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTHINGHERE","ok"
"11",4593526,1,1,1,1,"RACCOON",1,1,1,1,1,1,0,0,0,0,0,0,1,"RACCOON","ok"
"12",4593528,1,1,1,1,"RACCOON",1,1,1,1,1,1,0,0,1,0,0,0,0,"RACCOON","ok"
"13",4593530,3,3,1,1,"RACCOON",3,1,1,1,1,1,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,"RACCOON","ok"
"14",4593531,2,2,1,1,"RACCOON",2,1,1,1,1,1,0,0,0,0,0,0,1,"RACCOON","ok"
"15",4593532,2,2,1,1,"RACCOON",2,1,1,1,1,1,0,0,0,0,0,1,0,"RACCOON","ok"
"16",4593533,1,1,1,1,"RACCOON",1,1,1,1,1,1,0,0,0,0,0,0,1,"RACCOON","ok"
"17",4593534,3,3,1,1,"RACCOON",3,1,1,2,2,2,0,0,0,0,0,0,1,"RACCOON","ok"
"18",4593535,1,1,1,1,"RACCOON",1,1,1,1,1,1,0,0,1,0,0,0,0,"RACCOON","ok"
